Date,Open,High,Low,Close,Adj Close,Volume
2022-09-20,17078.019531,17111.259766,16558.023438,16598.902344,16598.902344,32327709976
2022-09-21,16599.335938,17374.824219,16226.143555,16475.765625,16475.765625,41185236370
2022-09-22,16464.441406,17281.238281,16401.791016,17236.904297,17236.904297,36523625626
2022-09-23,17235.880859,17327.121094,16985.146484,17794.042969,17794.042969,35865451235
2022-09-24,17793.447266,17783.494141,17370.708984,17439.812500,17439.812500,24082200080
2022-09-25,17439.167969,17621.902344,17305.339844,17420.820313,17420.820313,21643849562
2022-09-26,17422.490234,17884.710938,17571.966797,17854.076172,17854.076172,41005536327
2022-09-27,17853.302734,18856.716797,17695.154297,17816.113281,17816.113281,54604161728
2022-09-28,17810.587891,18085.595703,17418.484375,17935.642578,17935.642578,48997864271
2022-09-29,17936.621094,18123.185547,17278.351563,17519.542969,17519.542969,36732358392
2022-09-30,17519.884766,18000.326172,17381.654297,17392.519531,17392.519531,39360265674
2022-10-01,17391.908203,17462.919922,17247.607422,17320.263672,17320.263672,16788823274
2022-10-02,17320.042969,17372.474609,17030.533203,17101.988281,17101.988281,18648243203
2022-10-03,17101.953125,17351.367188,17109.652344,17307.193359,17307.193359,26886281535
2022-10-04,17307.197266,17760.451172,17302.144531,17759.757813,17759.757813,31339642730
2022-10-05,17758.933594,17766.582031,17565.603516,17752.134766,17752.134766,29254577536
2022-10-06,17752.419922,17968.589844,17831.892578,17878.939453,17878.939453,31099447467
2022-10-07,17880.835938,17912.841797,17478.595703,17618.826172,17618.826172,26344449909
2022-10-08,17618.357422,17668.261719,17408.033203,17513.705078,17513.705078,14826522822
2022-10-09,17514.527344,17627.330078,17452.992188,17561.523438,17561.523438,15205260350
2022-10-10,17561.513672,17570.847656,17271.195313,17276.433594,17276.433594,24752865680
2022-10-11,17274.191406,17332.792969,17121.898438,17376.341797,17376.341797,26187100091
2022-10-12,17377.460938,17298.029297,17238.505859,17257.947266,17257.947266,22476314209
2022-10-13,17257.515625,17178.980469,16413.882813,17150.574219,17150.574219,39127041031
2022-10-14,17150.248047,17522.556641,17097.316406,17173.751953,17173.751953,34420050339
2022-10-15,17173.556641,17197.818359,17024.796875,17068.107422,17068.107422,14494236753
2022-10-16,17069.251953,17239.103516,17069.251953,17139.875000,17139.875000,16001986840
2022-10-17,17140.291016,17310.785156,17085.703125,17222.222656,17222.222656,24200516991
2022-10-18,17221.966797,17318.539063,16927.154297,17045.683594,17045.683594,26960072803
2022-10-19,17046.222656,17063.677734,17064.517578,17078.283203,17078.283203,20010262686
2022-10-20,17076.990234,17084.099609,16931.363281,16978.693359,16978.693359,21826458135
2022-10-21,16978.214844,17015.429688,16938.773438,16960.042969,16960.042969,28713615883
2022-10-22,16959.964844,17026.917969,16924.458984,16991.642578,16991.642578,14246052889
2022-10-23,16991.238281,17324.023438,16917.341797,17260.820313,17260.820313,19520672506
2022-10-24,17261.492188,17287.187500,17002.744141,17110.810547,17110.810547,26713333929
2022-10-25,17110.273438,17733.701172,17014.310547,17534.378906,17534.378906,41673697660
2022-10-26,17531.220703,18026.289063,17533.878906,17845.048828,17845.048828,50600809280
2022-10-27,17847.078125,17923.925781,17506.578125,17540.412109,17540.412109,42908996836
2022-10-28,17542.244141,17884.207031,17449.832031,17733.978516,17733.978516,37882398045
2022-10-29,17733.763672,18072.414063,17709.121094,17926.103516,17926.103516,34761137575
2022-10-30,17925.677734,18010.943359,17720.173828,17796.990234,17796.990234,27155115347
2022-10-31,17795.345703,18002.738281,17659.625000,17872.787109,17872.787109,39823953438
2022-11-01,17872.021484,17908.384766,17705.857422,17829.705078,17829.705078,34657407433
2022-11-02,17827.691406,17949.791016,17641.042969,17709.175781,17709.175781,48799969939
2022-11-03,17711.974609,17863.888672,17963.125000,18092.222656,18092.222656,38698895906
2022-11-04,18091.132813,18749.740234,18052.710938,18582.810547,18582.810547,56302948595
2022-11-05,18580.703125,18846.128906,18539.230469,18705.953125,18705.953125,33263950933
2022-11-06,18708.033203,18761.048828,18462.884766,18468.439453,18468.439453,30961844983
2022-11-07,18466.792969,18589.806641,17798.144531,17894.925781,17894.925781,46477760394
2022-11-08,17893.064453,17944.689453,15281.654297,16050.196289,16050.196289,103005470875
2022-11-09,16052.351563,16113.857422,13801.130859,13969.369141,13969.369141,90519487559
2022-11-10,13971.460938,15412.189453,13931.845703,15038.553711,15038.553711,71146772023
2022-11-11,15035.544922,15126.488281,14110.299805,14403.380859,14403.380859,47242357065
2022-11-12,14405.564453,14448.596680,14097.342773,14191.498047,14191.498047,25104710092
2022-11-13,14191.952148,14294.207031,13827.233398,13862.666016,13862.666016,23065088962
2022-11-14,13861.533203,14525.285156,13511.651367,14140.425781,14140.425781,42230373815
2022-11-15,14139.817383,14324.466797,14079.844727,14213.096680,14213.096680,30808600191
2022-11-16,14212.867188,14305.041992,13813.550781,13991.111328,13991.111328,28474599040
2022-11-17,13991.939453,14045.307617,13855.878906,14071.632813,14071.632813,23500266667
2022-11-18,14071.964844,14254.424805,13937.927734,14042.363281,14042.363281,22590373708
2022-11-19,14041.053711,14129.517578,13930.562500,14056.901367,14056.901367,13547733784
2022-11-20,14058.056641,14086.537109,13654.020508,13707.768555,13707.768555,17932842350
2022-11-21,13707.256836,13707.256836,13195.296875,13349.080078,13349.080078,31648838345
2022-11-22,13344.867188,13680.303711,13228.015625,13612.018555,13612.018555,25834472358
2022-11-23,13616.911133,13803.743164,13594.347656,13754.329102,13754.329102,27291267375
2022-11-24,13755.100586,13880.291016,13598.182617,13708.679688,13708.679688,21572185547
2022-11-25,13706.867188,13709.059570,13541.657227,13662.323242,13662.323242,15445516823
2022-11-26,13662.105469,13784.529297,13577.239258,13616.981445,13616.981445,14887123249
2022-11-27,13616.652344,13747.883789,13635.712891,13642.297852,13642.297852,16960053764
2022-11-28,13638.643555,13656.225586,13351.188477,13559.692383,13559.692383,23196609166
2022-11-29,13559.958008,13775.696289,13477.994141,13765.470703,13765.470703,19739332801
2022-11-30,13765.884766,14225.656250,13765.884766,14218.009766,14218.009766,24449713759
2022-12-01,14217.543945,14063.288086,13793.658203,13840.973633,13840.973633,18676962534
2022-12-02,13842.237305,13899.728516,13856.470703,13899.728516,13899.728516,15893381214
2022-12-03,13900.898438,13915.478516,13730.193359,13746.532227,13746.532227,13185182202
2022-12-04,13746.477539,13964.294922,13742.631836,13931.555664,13931.555664,13682726635
